Place_ID,Operator,Bussiness_Status,Location_Name,Address,Latitude,Longitude,Usage,Number_of_Connectors,Min_Power_kW,Max_Power_kW,Max_Charging_Type,Rapid_Charge_Available,Fast_Charge_Available,Slow_Charge_Available
167407,Char.gy,Operational,28 Liverpool Grove,"28 Liverpool Grove, London , SE172PY",51.486165,-0.092671,Public,1,5.1,5.1,Slow,No,No,Yes
236827,Char.gy,Operational,St Peter's Church,"St Peter's Church, Liverpool Grove, SE17 2HH",51.486212,-0.0930551,Public,1,5.1,5.1,Slow,No,No,Yes
259139,Char.gy,Operational,Opposite Arnside House,"Opposite Arnside House, Arnside Street, SE17 2EX",51.484948,-0.0924513,Public,1,5.1,5.1,Slow,No,No,Yes
236336,Char.gy,Operational,1a-F Horsley Street,"1a-F Horsley Street, London, SE17 2AU",51.4847899,-0.0926472,Public,1,5.1,5.1,Slow,No,No,Yes
236381,Char.gy,Operational,Wellington House Arnside Street,"Wellington House Arnside Street, London, SE17 2EX",51.4849395,-0.0928288,Public,1,5.1,5.1,Slow,No,No,Yes
235671,Char.gy,Operational,Opposite 2 Boyson Road,"Opposite 2 Boyson Road, London, SE17 2BU",51.483495,-0.0937737,Public,1,3.5,3.5,Slow,No,No,Yes
236369,Char.gy,Operational,St Peter's House,"St Peter's House, Queens Row, SE17 2PT",51.4844686,-0.0917648,Public,1,3.5,3.5,Slow,No,No,Yes
236388,Char.gy,Operational,2 Horsley Street,"2 Horsley Street, London, SE17 2AU",51.4843221,-0.0923466,Public,1,3.5,3.5,Slow,No,No,Yes
236380,Char.gy,Operational,42 Queens Row,"42 Queens Row, London, SE17 2PT",51.4849031,-0.0921698,Public,1,3.5,3.5,Slow,No,No,Yes
259670,Char.gy,Operational,1 Queens Row,"1 Queens Row, London, SE17 2QE",51.485435,-0.09236,Public,1,5.1,5.1,Slow,No,No,Yes
252328,Shell Recharge Solutions (UK),Unknown,opp.,"opp., London, SE17 2PN",51.485419,-0.091109,Public - Pay At Location,1,5.0,5.0,Slow,No,No,Yes
236406,Char.gy,Operational,116-126 Merrow Street,"116-126 Merrow Street, London, SE17 2NP",51.4859449,-0.0911412,Public,1,5.1,5.1,Slow,No,No,Yes
214155,Shell Recharge Solutions (UK),Unknown,Shell Recharge/Ubitricity,"null, London, SE17 2PH",51.484871,-0.090162,Public - Pay At Location,1,5.0,5.0,Slow,No,No,Yes
235779,Char.gy,Operational,162-172 Merrow Street,"162 - 172 Merrow Street, London, SE17 2NP",51.4861158,-0.0904691,Public,1,5.1,5.1,Slow,No,No,Yes
259166,Char.gy,Operational,136 Trafalgar Street,"136 Trafalgar Street, London, SE17 2TP",51.4878726,-0.090018,Public,1,3.5,3.5,Slow,No,No,Yes
236848,Char.gy,Operational,Woodsford,"Woodsford, Portland Street, SE17 2NR",51.4877496,-0.0906542,Public,1,5.1,5.1,Slow,No,No,Yes
75197,Total Energies (UK),Operational,Trafalgar Street,"128 Trafalgar Street, LONDON, SE17 2TW",51.4878501455,-0.0904840809922,Public - Membership Required,2,4.0,7.0,Fast,No,Yes,Yes
